2024-10-24 08:16:40: ITM12NEO52IGZ240924133741.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:40: ITM12NEO52IGZ240924203543.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:40: ITM12NEO52IGZ240925133325.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:41: ITM12NEO52IGZ240925204740.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:41: ITM12NEO52IGZ240927021908.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:41: ITM12NEO52IGZ240927133609.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:41: ITM12NEO52IGZ240927203333.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:41: ITM12NEO52IGZ240928022257.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:41: ITM12NEO52IGZ240929133258.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:42: ITM12NEO52IGZ240930022833.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:42: ITM12NEO52IGZ240930131507.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:42: ITM12NEO52IGZ240930142414.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:42: ITM12NEO52IGZ240930200530.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:43: ITM12NEO52IGZ241001021546.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:43: PRM12NEO52IGZ241001145818.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:43: ITM12NEO52IGZ241001203220.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:43: ITM12NEO52IGZ241002020000.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:43: ITM12NEO52IGZ241002133202.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:44: PRM12NEO52IGZ241002142244.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:44: ITM12NEO52IGZ241002190247.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:44: ITM12NEO52IGZ241003015922.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:44: ITM12NEO52IGZ241003133208.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:44: ITM12NEO52IGZ241003203238.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:45: ITM12NEO52IGZ241004015432.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:45: ITM12NEO52IGZ241004203219.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:45: ITM12NEO52IGZ241005203150.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:45: ITM12NEO52IGZ241006015449.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:45: ITM12NEO52IGZ241006133429.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:45: ITM12NEO52IGZ241007203704.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:46: ITM12NEO52IGZ241008021000.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:46: ITM12NEO52IGZ241008133652.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:46: ITM12NEO52IGZ241008203338.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:46: ITM12NEO52IGZ241009015830.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:46: ITM12NEO52IGZ241009133559.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:46: ITM12NEO52IGZ241009203241.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:47: ITM12NEO52IGZ241010021031.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:47: ITM12NEO52IGZ241010133321.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:47: ITM12NEO52IGZ241010203329.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:47: ITM12NEO52IGZ241011133403.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:47: PRM12NEO52IGZ241011135110.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:48: ITM12NEO52IGZ241011203212.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:48: ITM12NEO52IGZ241012015630.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:48: ITM12NEO52IGZ241012133545.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:48: ITM12NEO52IGZ241012203210.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:48: ITM12NEO52IGZ241014203241.json successfully integrated to Customer: Bara, Store: 02.
2024-10-24 08:16:48: ITM12NEO52IGZ241015020224.json successfully integrated to Customer: Bara, Store: 02.
